new_complaint_id,new_complaint_category,new_customer_id,new_customer_name,new_customer_country,new_communication_channel,new_complaint_description,new_complaint_product_type,new_complaint_priority,new_department_assigend,new_complaint_date,new_complaint_status,complaints_description_length,cleaned_complaints
324,customer_service,1324,Customer_324,Algeria,Mobile App,I contacted support about my Concealer and never received a helpful response.,Concealer,2,Customer Support,2025-01-31,resolved,77,contacted support concealer never received helpful response
325,customer_service,1325,Customer_325,Morocco,Phone Call,I contacted support about my Foundation and never received a helpful response.,Foundation,2,Customer Support,2025-12-13,resolved,78,contacted support foundation never received helpful response
326,product_quality,1326,Customer_326,Nigeria,Email,The Primer does not perform as advertised.,Primer,3,Quality Control Department,2025-07-26,awaiting,42,primer perform advertised
327,billing,1327,Customer_327,Algeria,Email,I was charged twice for my Eyeshadow purchase.,Eyeshadow,3,Finance Department,2025-08-23,awaiting,46,charged twice eyeshadow purchase
328,refund,1328,Customer_328,Kenya,Phone Call,I requested a refund for my Eyeshadow but have not received it.,Eyeshadow,3,Customer Support,2025-09-11,resolved,63,requested refund eyeshadow received
329,delivery,1329,Customer_329,Kenya,Website,My Eyeliner order arrived much later than expected.,Eyeliner,3,Delivery Department,2025-12-16,in_progress,51,eyeliner order arrived much later expected
330,packaging,1330,Customer_330,Algeria,Phone Call,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,2,Packaging Department,2025-08-14,resolved,62,kohl arrived damaged packaging disappointed
331,packaging,1331,Customer_331,Tunisia,Website,The Body Lotion arrived with damaged packaging and I am disappointed.,Body Lotion,2,Packaging Department,2025-03-23,resolved,69,body lotion arrived damaged packaging disappointed
332,packaging,1332,Customer_332,Ghana,Email,The Eyeshadow arrived with damaged packaging and I am disappointed.,Eyeshadow,5,Packaging Department,2025-07-22,awaiting,67,eyeshadow arrived damaged packaging disappointed
333,delivery,1333,Customer_333,Ghana,Mobile App,My Sunscreen order arrived much later than expected.,Sunscreen,2,Delivery Department,2025-02-09,in_progress,52,sunscreen order arrived much later expected
334,product_quality,1334,Customer_334,Algeria,Email,The Concealer does not perform as advertised. please help!!!,Concealer,4,Quality Control Department,2025-08-05,awaiting,60,concealer perform advertised please help
335,packaging,1335,Customer_335,Nigeria,Website,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,4,Packaging Department,2025-07-08,resolved,66,lipstick arrived damaged packaging disappointed
336,packaging,1336,Customer_336,Egypt,Email,The Foundation arrived with damaged packaging and I am disappointed.,Foundation,1,Packaging Department,2025-11-09,awaiting,68,foundation arrived damaged packaging disappointed
337,packaging,1337,Customer_337,Kenya,Mobile App,The Eyeshadow arrived with damaged packaging and I am disappointed.,Eyeshadow,2,Packaging Department,2025-04-22,in_progress,67,eyeshadow arrived damaged packaging disappointed
338,customer_service,1338,Customer_338,Kenya,Website,I contacted support about my Foundation and never received a helpful response.,Foundation,3,Customer Support,2025-03-13,in_progress,78,contacted support foundation never received helpful response
339,delivery,1339,Customer_339,Morocco,Email,My Lipstick order arrived much later than expected.,Lipstick,4,Delivery Department,2025-12-04,resolved,51,lipstick order arrived much later expected
340,delivery,1340,Customer_340,Nigeria,Phone Call,My Primer order arrived much later than expected.,Primer,3,Delivery Department,2025-09-11,resolved,49,primer order arrived much later expected
341,packaging,1341,Customer_341,Nigeria,Website,The Blush arrived with damaged packaging and I am disappointed. please help!!!,Blush,5,Packaging Department,2025-06-12,in_progress,78,blush arrived damaged packaging disappointed please help
342,product_quality,1342,Customer_342,Kenya,Email,The Primer does not perform as advertised.,Primer,2,Quality Control Department,2025-01-09,awaiting,42,primer perform advertised
343,packaging,1343,Customer_343,Kenya,Website,The Eyeliner arrived with damaged packaging and I am disappointed.,Eyeliner,5,Packaging Department,2025-11-18,awaiting,66,eyeliner arrived damaged packaging disappointed
344,product_quality,1344,Customer_344,Egypt,Phone Call,The Body Lotion does not perform as advertised.,Body Lotion,4,Quality Control Department,2025-05-23,in_progress,47,body lotion perform advertised
345,delivery,1345,Customer_345,Morocco,Mobile App,My Concealer order arrived much later than expected.,Concealer,2,Delivery Department,2025-10-28,awaiting,52,concealer order arrived much later expected
346,billing,1346,Customer_346,Tunisia,Phone Call,I was charged twice for my Kohl purchase. please help!!!,Kohl,4,Finance Department,2025-01-30,in_progress,56,charged twice kohl purchase please help
347,packaging,1347,Customer_347,Tunisia,Phone Call,the body lotion arrived with damaged packaging and i am disappointed.,Body Lotion,1,Packaging Department,2025-03-03,in_progress,69,body lotion arrived damaged packaging disappointed
348,refund,1348,Customer_348,Algeria,Website,I requested a refund for my Cleanser but have not received it.,Cleanser,3,Customer Support,2025-03-27,resolved,62,requested refund cleanser received
349,packaging,1349,Customer_349,Morocco,Mobile App,The Eyeliner arrived with damaged packaging and I am disappointed.,Eyeliner,5,Packaging Department,2025-05-20,awaiting,66,eyeliner arrived damaged packaging disappointed
350,packaging,1350,Customer_350,Nigeria,Mobile App,The Primer arrived with damaged packaging and I am disappointed.,Primer,3,Packaging Department,2025-10-18,in_progress,64,primer arrived damaged packaging disappointed
351,product_quality,1351,Customer_351,Nigeria,Phone Call,The Eyeliner does not perform as advertised.,Eyeliner,4,Quality Control Department,2025-09-18,in_progress,44,eyeliner perform advertised
352,packaging,1352,Customer_352,Ghana,Phone Call,The Cleanser arrived with damaged packaging and I am disappointed.,Cleanser,3,Packaging Department,2025-01-19,awaiting,66,cleanser arrived damaged packaging disappointed
353,billing,1353,Customer_353,Tunisia,Website,I was charged twice for my Kohl purchase.,Kohl,3,Finance Department,2025-05-19,in_progress,41,charged twice kohl purchase
354,product_quality,1354,Customer_354,Algeria,Email,The Lipstick does not perform as advertised.,Lipstick,2,Quality Control Department,2025-07-25,in_progress,44,lipstick perform advertised
355,customer_service,1355,Customer_355,Kenya,Email,I contacted support about my Eyeliner and never received a helpful response.,Eyeliner,2,Customer Support,2025-07-08,in_progress,76,contacted support eyeliner never received helpful response
356,delivery,1356,Customer_356,Kenya,Phone Call,My Eyeliner order arrived much later than expected.,Eyeliner,3,Delivery Department,2025-10-07,in_progress,51,eyeliner order arrived much later expected
357,packaging,1357,Customer_357,Tunisia,Email,the body lotion arrived with damaged packaging and i am disappointed.,Body Lotion,4,Packaging Department,2025-06-21,in_progress,69,body lotion arrived damaged packaging disappointed
358,billing,1358,Customer_358,Egypt,Phone Call,I was charged twice for my Body Lotion purchase.,Body Lotion,2,Finance Department,2025-08-03,resolved,48,charged twice body lotion purchase
359,customer_service,1359,Customer_359,Algeria,Mobile App,I contacted support about my Foundation and never received a helpful response.,Foundation,5,Customer Support,2025-12-25,resolved,78,contacted support foundation never received helpful response
360,product_quality,1360,Customer_360,Kenya,Email,The Lipstick does not perform as advertised.,Lipstick,4,Quality Control Department,2025-10-31,awaiting,44,lipstick perform advertised
361,packaging,1361,Customer_361,Morocco,Mobile App,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,3,Packaging Department,2025-12-25,awaiting,62,kohl arrived damaged packaging disappointed
362,delivery,1362,Customer_362,Algeria,Email,My Blush order arrived much later than expected. please help!!!,Blush,2,Delivery Department,2025-03-21,in_progress,63,blush order arrived much later expected please help
363,packaging,1363,Customer_363,Algeria,Phone Call,The Blush arrived with damaged packaging and I am disappointed.,Blush,3,Packaging Department,2025-08-20,resolved,63,blush arrived damaged packaging disappointed
364,product_quality,1364,Customer_364,Tunisia,Email,the lipstick does not perform as advertised.,Lipstick,3,Quality Control Department,2025-04-21,resolved,44,lipstick perform advertised
365,packaging,1365,Customer_365,Morocco,Website,The Sunscreen arrived with damaged packaging and I am disappointed.,Sunscreen,1,Packaging Department,2025-03-31,in_progress,67,sunscreen arrived damaged packaging disappointed
366,customer_service,1366,Customer_366,Nigeria,Phone Call,I contacted support about my Blush and never received a helpful response.,Blush,2,Customer Support,2025-03-04,in_progress,73,contacted support blush never received helpful response
367,packaging,1367,Customer_367,Tunisia,Email,the sunscreen arrived with damaged packaging and i am disappointed.,Sunscreen,3,Packaging Department,2025-10-26,awaiting,67,sunscreen arrived damaged packaging disappointed
368,delivery,1368,Customer_368,Kenya,Phone Call,my lipstick order arrived much later than expected. please help!!!,Lipstick,5,Delivery Department,2025-02-17,resolved,66,lipstick order arrived much later expected please help
369,packaging,1369,Customer_369,Tunisia,Mobile App,the blush arrived with damaged packaging and i am disappointed.,Blush,3,Packaging Department,2025-09-12,in_progress,63,blush arrived damaged packaging disappointed
370,product_quality,1370,Customer_370,Morocco,Mobile App,The Body Lotion does not perform as advertised.,Body Lotion,2,Quality Control Department,2025-03-18,in_progress,47,body lotion perform advertised
371,refund,1371,Customer_371,Egypt,Mobile App,I requested a refund for my Primer but have not received it.,Primer,3,Customer Support,2025-02-01,in_progress,60,requested refund primer received
372,delivery,1372,Customer_372,Ghana,Email,My Foundation order arrived much later than expected.,Foundation,4,Delivery Department,2025-07-15,awaiting,53,foundation order arrived much later expected
373,delivery,1373,Customer_373,Morocco,Mobile App,My Concealer order arrived much later than expected.,Concealer,3,Delivery Department,2025-05-19,in_progress,52,concealer order arrived much later expected
374,packaging,1374,Customer_374,Nigeria,Mobile App,The Primer arrived with damaged packaging and I am disappointed.,Primer,4,Packaging Department,2025-09-29,resolved,64,primer arrived damaged packaging disappointed
375,billing,1375,Customer_375,Morocco,Email,I was charged twice for my Sunscreen purchase.,Sunscreen,4,Finance Department,2025-04-23,awaiting,46,charged twice sunscreen purchase
376,customer_service,1376,Customer_376,Ghana,Phone Call,I contacted support about my Body Lotion and never received a helpful response.,Body Lotion,5,Customer Support,2025-10-31,resolved,79,contacted support body lotion never received helpful response
377,billing,1377,Customer_377,Egypt,Phone Call,I was charged twice for my Eyeshadow purchase. please help!!!,Eyeshadow,4,Finance Department,2025-10-16,in_progress,61,charged twice eyeshadow purchase please help
378,customer_service,1378,Customer_378,Nigeria,Phone Call,I contacted support about my Blush and never received a helpful response.,Blush,1,Customer Support,2025-11-05,in_progress,73,contacted support blush never received helpful response
379,packaging,1379,Customer_379,Ghana,Website,the blush arrived with damaged packaging and i am disappointed.,Blush,2,Packaging Department,2025-04-01,resolved,63,blush arrived damaged packaging disappointed
380,packaging,1380,Customer_380,Algeria,Website,The Foundation arrived with damaged packaging and I am disappointed.,Foundation,4,Packaging Department,2025-02-07,resolved,68,foundation arrived damaged packaging disappointed
381,refund,1381,Customer_381,Ghana,Phone Call,I requested a refund for my Kohl but have not received it.,Kohl,3,Customer Support,2025-08-12,awaiting,58,requested refund kohl received
382,customer_service,1382,Customer_382,Egypt,Website,I contacted support about my Kohl and never received a helpful response.,Kohl,3,Customer Support,2025-04-25,awaiting,72,contacted support kohl never received helpful response
383,product_quality,1383,Customer_383,Ghana,Email,The Foundation does not perform as advertised.,Foundation,3,Quality Control Department,2025-12-26,awaiting,46,foundation perform advertised
384,product_quality,1384,Customer_384,Egypt,Phone Call,the primer does not perform as advertised.,Primer,5,Quality Control Department,2025-11-24,awaiting,42,primer perform advertised
385,packaging,1385,Customer_385,Morocco,Phone Call,the blush arrived with damaged packaging and i am disappointed.,Blush,2,Packaging Department,2025-11-22,in_progress,63,blush arrived damaged packaging disappointed
386,customer_service,1386,Customer_386,Morocco,Phone Call,I contacted support about my Kohl and never received a helpful response.,Kohl,3,Customer Support,2025-05-08,awaiting,72,contacted support kohl never received helpful response
387,packaging,1387,Customer_387,Kenya,Mobile App,The Eyeliner arrived with damaged packaging and I am disappointed.,Eyeliner,1,Packaging Department,2025-03-27,resolved,66,eyeliner arrived damaged packaging disappointed
388,product_quality,1388,Customer_388,Algeria,Phone Call,The Body Lotion does not perform as advertised.,Body Lotion,4,Quality Control Department,2025-03-25,resolved,47,body lotion perform advertised
389,packaging,1389,Customer_389,Nigeria,Website,The Cleanser arrived with damaged packaging and I am disappointed.,Cleanser,5,Packaging Department,2025-03-29,resolved,66,cleanser arrived damaged packaging disappointed
390,packaging,1390,Customer_390,Egypt,Mobile App,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,2,Packaging Department,2025-12-27,in_progress,66,lipstick arrived damaged packaging disappointed
391,product_quality,1391,Customer_391,Nigeria,Website,The Kohl does not perform as advertised.,Kohl,2,Quality Control Department,2025-04-16,in_progress,40,kohl perform advertised
392,product_quality,1392,Customer_392,Morocco,Website,The Concealer does not perform as advertised.,Concealer,3,Quality Control Department,2025-05-02,in_progress,45,concealer perform advertised
393,packaging,1393,Customer_393,Nigeria,Mobile App,The Primer arrived with damaged packaging and I am disappointed.,Primer,1,Packaging Department,2025-02-14,resolved,64,primer arrived damaged packaging disappointed
394,customer_service,1394,Customer_394,Ghana,Website,I contacted support about my Kohl and never received a helpful response.,Kohl,1,Customer Support,2025-02-11,resolved,72,contacted support kohl never received helpful response
395,customer_service,1395,Customer_395,Morocco,Email,I contacted support about my Eyeliner and never received a helpful response.,Eyeliner,5,Customer Support,2025-11-25,awaiting,76,contacted support eyeliner never received helpful response
396,product_quality,1396,Customer_396,Morocco,Mobile App,The Eyeshadow does not perform as advertised.,Eyeshadow,3,Quality Control Department,2025-08-27,resolved,45,eyeshadow perform advertised
397,delivery,1397,Customer_397,Nigeria,Email,My Eyeliner order arrived much later than expected.,Eyeliner,4,Delivery Department,2025-12-09,resolved,51,eyeliner order arrived much later expected
398,billing,1398,Customer_398,Algeria,Mobile App,I was charged twice for my Body Lotion purchase.,Body Lotion,3,Finance Department,2025-09-25,resolved,48,charged twice body lotion purchase
399,customer_service,1399,Customer_399,Kenya,Website,I contacted support about my Kohl and never received a helpful response.,Kohl,5,Customer Support,2025-02-10,resolved,72,contacted support kohl never received helpful response
400,customer_service,1400,Customer_400,Tunisia,Phone Call,I contacted support about my Cleanser and never received a helpful response.,Cleanser,4,Customer Support,2025-03-03,resolved,76,contacted support cleanser never received helpful response
401,packaging,1401,Customer_401,Kenya,Email,The Foundation arrived with damaged packaging and I am disappointed.,Foundation,2,Packaging Department,2025-12-16,resolved,68,foundation arrived damaged packaging disappointed
402,delivery,1402,Customer_402,Tunisia,Email,my kohl order arrived much later than expected.,Kohl,3,Delivery Department,2025-02-14,resolved,47,kohl order arrived much later expected
403,product_quality,1403,Customer_403,Algeria,Email,The Concealer does not perform as advertised.,Concealer,3,Quality Control Department,2025-12-25,awaiting,45,concealer perform advertised
404,product_quality,1404,Customer_404,Egypt,Email,the body lotion does not perform as advertised.,Body Lotion,3,Quality Control Department,2025-02-24,awaiting,47,body lotion perform advertised
405,billing,1405,Customer_405,Morocco,Mobile App,I was charged twice for my Eyeliner purchase.,Eyeliner,5,Finance Department,2025-12-02,resolved,45,charged twice eyeliner purchase
406,product_quality,1406,Customer_406,Egypt,Mobile App,the blush does not perform as advertised.,Blush,2,Quality Control Department,2025-01-20,resolved,41,blush perform advertised
407,customer_service,1407,Customer_407,Morocco,Website,I contacted support about my Eyeshadow and never received a helpful response. please help!!!,Eyeshadow,3,Customer Support,2025-01-11,resolved,92,contacted support eyeshadow never received helpful response please help
408,billing,1408,Customer_408,Tunisia,Email,I was charged twice for my Eyeliner purchase.,Eyeliner,5,Finance Department,2025-04-27,in_progress,45,charged twice eyeliner purchase
409,delivery,1409,Customer_409,Egypt,Email,My Blush order arrived much later than expected.,Blush,4,Delivery Department,2025-04-07,resolved,48,blush order arrived much later expected
410,delivery,1410,Customer_410,Algeria,Email,My Body Lotion order arrived much later than expected.,Body Lotion,5,Delivery Department,2025-09-21,in_progress,54,body lotion order arrived much later expected
411,packaging,1411,Customer_411,Egypt,Email,The Concealer arrived with damaged packaging and I am disappointed.,Concealer,3,Packaging Department,2025-03-30,in_progress,67,concealer arrived damaged packaging disappointed
412,customer_service,1412,Customer_412,Morocco,Phone Call,I contacted support about my Sunscreen and never received a helpful response.,Sunscreen,3,Customer Support,2025-05-21,resolved,77,contacted support sunscreen never received helpful response
413,customer_service,1413,Customer_413,Ghana,Website,I contacted support about my Concealer and never received a helpful response.,Concealer,4,Customer Support,2025-09-08,awaiting,77,contacted support concealer never received helpful response
414,product_quality,1414,Customer_414,Morocco,Email,The Blush does not perform as advertised.,Blush,2,Quality Control Department,2025-05-26,in_progress,41,blush perform advertised
415,product_quality,1415,Customer_415,Ghana,Phone Call,The Foundation does not perform as advertised.,Foundation,2,Quality Control Department,2025-12-13,in_progress,46,foundation perform advertised
416,delivery,1416,Customer_416,Tunisia,Email,My Body Lotion order arrived much later than expected.,Body Lotion,5,Delivery Department,2025-08-31,in_progress,54,body lotion order arrived much later expected
417,refund,1417,Customer_417,Morocco,Website,I requested a refund for my Primer but have not received it.,Primer,4,Customer Support,2025-08-05,resolved,60,requested refund primer received
418,customer_service,1418,Customer_418,Algeria,Mobile App,I contacted support about my Blush and never received a helpful response.,Blush,4,Customer Support,2025-10-27,in_progress,73,contacted support blush never received helpful response
419,packaging,1419,Customer_419,Egypt,Website,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,3,Packaging Department,2025-06-02,awaiting,62,kohl arrived damaged packaging disappointed
420,packaging,1420,Customer_420,Morocco,Website,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,3,Packaging Department,2025-12-02,awaiting,66,lipstick arrived damaged packaging disappointed
421,customer_service,1421,Customer_421,Nigeria,Mobile App,I contacted support about my Kohl and never received a helpful response.,Kohl,4,Customer Support,2025-12-05,resolved,72,contacted support kohl never received helpful response
422,refund,1422,Customer_422,Kenya,Mobile App,I requested a refund for my Cleanser but have not received it.,Cleanser,2,Customer Support,2025-07-18,awaiting,62,requested refund cleanser received
423,packaging,1423,Customer_423,Tunisia,Mobile App,The Primer arrived with damaged packaging and I am disappointed.,Primer,4,Packaging Department,2025-12-10,resolved,64,primer arrived damaged packaging disappointed
424,product_quality,1424,Customer_424,Nigeria,Mobile App,The Foundation does not perform as advertised.,Foundation,2,Quality Control Department,2025-03-07,awaiting,46,foundation perform advertised
425,delivery,1425,Customer_425,Morocco,Email,My Concealer order arrived much later than expected.,Concealer,4,Delivery Department,2025-04-24,resolved,52,concealer order arrived much later expected
426,delivery,1426,Customer_426,Egypt,Website,My Eyeliner order arrived much later than expected.,Eyeliner,3,Delivery Department,2025-08-26,in_progress,51,eyeliner order arrived much later expected
427,product_quality,1427,Customer_427,Ghana,Email,The Kohl does not perform as advertised.,Kohl,1,Quality Control Department,2025-12-15,resolved,40,kohl perform advertised
428,product_quality,1428,Customer_428,Ghana,Website,the body lotion does not perform as advertised.,Body Lotion,2,Quality Control Department,2025-07-29,awaiting,47,body lotion perform advertised
429,customer_service,1429,Customer_429,Nigeria,Mobile App,i contacted support about my blush and never received a helpful response.,Blush,2,Customer Support,2025-06-20,awaiting,73,contacted support blush never received helpful response
430,customer_service,1430,Customer_430,Algeria,Phone Call,I contacted support about my Eyeshadow and never received a helpful response. please help!!!,Eyeshadow,3,Customer Support,2025-10-23,in_progress,92,contacted support eyeshadow never received helpful response please help
431,product_quality,1431,Customer_431,Kenya,Mobile App,the lipstick does not perform as advertised.,Lipstick,3,Quality Control Department,2025-07-16,in_progress,44,lipstick perform advertised
432,packaging,1432,Customer_432,Algeria,Phone Call,The Sunscreen arrived with damaged packaging and I am disappointed.,Sunscreen,5,Packaging Department,2025-01-10,awaiting,67,sunscreen arrived damaged packaging disappointed
433,packaging,1433,Customer_433,Nigeria,Mobile App,The Sunscreen arrived with damaged packaging and I am disappointed.,Sunscreen,3,Packaging Department,2025-09-15,awaiting,67,sunscreen arrived damaged packaging disappointed
434,delivery,1434,Customer_434,Tunisia,Website,My Lipstick order arrived much later than expected.,Lipstick,3,Delivery Department,2025-08-11,awaiting,51,lipstick order arrived much later expected
435,customer_service,1435,Customer_435,Ghana,Mobile App,I contacted support about my Eyeshadow and never received a helpful response.,Eyeshadow,4,Customer Support,2025-01-10,in_progress,77,contacted support eyeshadow never received helpful response
436,delivery,1436,Customer_436,Nigeria,Website,My Foundation order arrived much later than expected. please help!!!,Foundation,3,Delivery Department,2025-12-31,awaiting,68,foundation order arrived much later expected please help
437,billing,1437,Customer_437,Nigeria,Email,I was charged twice for my Body Lotion purchase.,Body Lotion,3,Finance Department,2025-12-05,in_progress,48,charged twice body lotion purchase
438,refund,1438,Customer_438,Nigeria,Website,i requested a refund for my cleanser but have not received it.,Cleanser,3,Customer Support,2025-08-31,awaiting,62,requested refund cleanser received
439,packaging,1439,Customer_439,Tunisia,Website,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,4,Packaging Department,2025-11-15,awaiting,62,kohl arrived damaged packaging disappointed
440,refund,1440,Customer_440,Nigeria,Website,I requested a refund for my Body Lotion but have not received it.,Body Lotion,4,Customer Support,2025-02-28,in_progress,65,requested refund body lotion received
441,product_quality,1441,Customer_441,Ghana,Website,The Primer does not perform as advertised.,Primer,3,Quality Control Department,2025-12-27,resolved,42,primer perform advertised
442,delivery,1442,Customer_442,Kenya,Website,My Cleanser order arrived much later than expected.,Cleanser,4,Delivery Department,2025-05-01,in_progress,51,cleanser order arrived much later expected
443,packaging,1443,Customer_443,Ghana,Email,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,4,Packaging Department,2025-09-19,in_progress,66,lipstick arrived damaged packaging disappointed
444,billing,1444,Customer_444,Morocco,Website,I was charged twice for my Lipstick purchase.,Lipstick,3,Finance Department,2025-08-26,in_progress,45,charged twice lipstick purchase
445,packaging,1445,Customer_445,Tunisia,Website,The Foundation arrived with damaged packaging and I am disappointed.,Foundation,3,Packaging Department,2025-08-07,awaiting,68,foundation arrived damaged packaging disappointed
446,packaging,1446,Customer_446,Morocco,Website,the cleanser arrived with damaged packaging and i am disappointed.,Cleanser,4,Packaging Department,2025-08-13,awaiting,66,cleanser arrived damaged packaging disappointed
447,delivery,1447,Customer_447,Kenya,Mobile App,My Lipstick order arrived much later than expected.,Lipstick,2,Delivery Department,2025-05-20,resolved,51,lipstick order arrived much later expected
448,refund,1448,Customer_448,Nigeria,Phone Call,I requested a refund for my Blush but have not received it.,Blush,4,Customer Support,2025-12-23,awaiting,59,requested refund blush received
449,packaging,1449,Customer_449,Egypt,Mobile App,the foundation arrived with damaged packaging and i am disappointed.,Foundation,3,Packaging Department,2025-04-03,awaiting,68,foundation arrived damaged packaging disappointed
450,product_quality,1450,Customer_450,Tunisia,Phone Call,The Eyeshadow does not perform as advertised.,Eyeshadow,5,Quality Control Department,2025-09-05,resolved,45,eyeshadow perform advertised
451,packaging,1451,Customer_451,Nigeria,Phone Call,The Body Lotion arrived with damaged packaging and I am disappointed. please help!!!,Body Lotion,4,Packaging Department,2025-12-09,resolved,84,body lotion arrived damaged packaging disappointed please help
452,product_quality,1452,Customer_452,Morocco,Mobile App,the primer does not perform as advertised.,Primer,2,Quality Control Department,2025-03-18,awaiting,42,primer perform advertised
453,customer_service,1453,Customer_453,Algeria,Mobile App,i contacted support about my primer and never received a helpful response.,Primer,2,Customer Support,2025-09-11,in_progress,74,contacted support primer never received helpful response
454,packaging,1454,Customer_454,Egypt,Phone Call,The Blush arrived with damaged packaging and I am disappointed.,Blush,3,Packaging Department,2025-10-09,awaiting,63,blush arrived damaged packaging disappointed
455,product_quality,1455,Customer_455,Nigeria,Mobile App,the sunscreen does not perform as advertised.,Sunscreen,3,Quality Control Department,2025-08-17,resolved,45,sunscreen perform advertised
456,packaging,1456,Customer_456,Nigeria,Email,The Blush arrived with damaged packaging and I am disappointed. please help!!!,Blush,3,Packaging Department,2025-02-16,awaiting,78,blush arrived damaged packaging disappointed please help
457,customer_service,1457,Customer_457,Tunisia,Mobile App,I contacted support about my Kohl and never received a helpful response.,Kohl,2,Customer Support,2025-06-24,resolved,72,contacted support kohl never received helpful response
458,customer_service,1458,Customer_458,Egypt,Mobile App,I contacted support about my Sunscreen and never received a helpful response.,Sunscreen,4,Customer Support,2025-12-03,resolved,77,contacted support sunscreen never received helpful response
459,refund,1459,Customer_459,Morocco,Website,i requested a refund for my lipstick but have not received it.,Lipstick,1,Customer Support,2025-10-08,awaiting,62,requested refund lipstick received
460,product_quality,1460,Customer_460,Tunisia,Mobile App,the lipstick does not perform as advertised.,Lipstick,2,Quality Control Department,2025-02-24,resolved,44,lipstick perform advertised
461,refund,1461,Customer_461,Algeria,Phone Call,i requested a refund for my sunscreen but have not received it.,Sunscreen,2,Customer Support,2025-06-23,in_progress,63,requested refund sunscreen received
462,billing,1462,Customer_462,Algeria,Mobile App,I was charged twice for my Cleanser purchase.,Cleanser,3,Finance Department,2025-08-23,awaiting,45,charged twice cleanser purchase
463,product_quality,1463,Customer_463,Nigeria,Mobile App,the concealer does not perform as advertised.,Concealer,3,Quality Control Department,2025-10-27,resolved,45,concealer perform advertised
464,customer_service,1464,Customer_464,Nigeria,Mobile App,I contacted support about my Foundation and never received a helpful response.,Foundation,4,Customer Support,2025-12-03,awaiting,78,contacted support foundation never received helpful response
465,refund,1465,Customer_465,Tunisia,Phone Call,I requested a refund for my Eyeshadow but have not received it.,Eyeshadow,5,Customer Support,2025-05-21,resolved,63,requested refund eyeshadow received
466,customer_service,1466,Customer_466,Tunisia,Website,I contacted support about my Eyeliner and never received a helpful response.,Eyeliner,3,Customer Support,2025-12-26,awaiting,76,contacted support eyeliner never received helpful response
467,customer_service,1467,Customer_467,Morocco,Website,I contacted support about my Concealer and never received a helpful response.,Concealer,4,Customer Support,2025-12-11,in_progress,77,contacted support concealer never received helpful response
468,customer_service,1468,Customer_468,Tunisia,Website,I contacted support about my Kohl and never received a helpful response.,Kohl,3,Customer Support,2025-12-30,in_progress,72,contacted support kohl never received helpful response
469,billing,1469,Customer_469,Kenya,Website,I was charged twice for my Concealer purchase.,Concealer,4,Finance Department,2025-08-05,in_progress,46,charged twice concealer purchase
470,product_quality,1470,Customer_470,Morocco,Phone Call,The Cleanser does not perform as advertised. please help!!!,Cleanser,1,Quality Control Department,2025-05-27,awaiting,59,cleanser perform advertised please help
471,delivery,1471,Customer_471,Nigeria,Website,My Cleanser order arrived much later than expected.,Cleanser,4,Delivery Department,2025-08-20,in_progress,51,cleanser order arrived much later expected
472,refund,1472,Customer_472,Egypt,Mobile App,I requested a refund for my Kohl but have not received it.,Kohl,4,Customer Support,2025-05-02,awaiting,58,requested refund kohl received
473,billing,1473,Customer_473,Kenya,Website,I was charged twice for my Eyeliner purchase. please help!!!,Eyeliner,3,Finance Department,2025-10-10,in_progress,60,charged twice eyeliner purchase please help
474,packaging,1474,Customer_474,Kenya,Phone Call,The Eyeliner arrived with damaged packaging and I am disappointed.,Eyeliner,5,Packaging Department,2025-11-21,awaiting,66,eyeliner arrived damaged packaging disappointed
475,refund,1475,Customer_475,Algeria,Phone Call,I requested a refund for my Eyeshadow but have not received it.,Eyeshadow,4,Customer Support,2025-05-31,resolved,63,requested refund eyeshadow received
476,packaging,1476,Customer_476,Nigeria,Mobile App,the kohl arrived with damaged packaging and i am disappointed.,Kohl,4,Packaging Department,2025-01-21,resolved,62,kohl arrived damaged packaging disappointed
477,delivery,1477,Customer_477,Morocco,Mobile App,my eyeliner order arrived much later than expected.,Eyeliner,2,Delivery Department,2025-12-30,in_progress,51,eyeliner order arrived much later expected
478,packaging,1478,Customer_478,Algeria,Website,The Eyeshadow arrived with damaged packaging and I am disappointed.,Eyeshadow,4,Packaging Department,2025-09-09,awaiting,67,eyeshadow arrived damaged packaging disappointed
479,product_quality,1479,Customer_479,Ghana,Email,The Lipstick does not perform as advertised.,Lipstick,2,Quality Control Department,2025-09-16,in_progress,44,lipstick perform advertised
480,product_quality,1480,Customer_480,Tunisia,Website,The Concealer does not perform as advertised.,Concealer,5,Quality Control Department,2025-06-19,resolved,45,concealer perform advertised
481,delivery,1481,Customer_481,Tunisia,Email,My Primer order arrived much later than expected.,Primer,4,Delivery Department,2025-02-28,awaiting,49,primer order arrived much later expected
482,delivery,1482,Customer_482,Nigeria,Website,My Sunscreen order arrived much later than expected.,Sunscreen,4,Delivery Department,2025-07-15,in_progress,52,sunscreen order arrived much later expected
